puzzle_id,num_words,connection_type,connection_complexity,word_rarity,word_rarity_value,semantic_distance,word_list,timestamp,time_of_day,hints_used,num_players,completions,completion_rate,avg_solve_time,min_solve_time,max_solve_time,median_solve_time,std_solve_time,q1_solve_time,q3_solve_time,difficulty,attempt_count,time_before_first_attempt,hover_count,abandonment_rate,competitiveness_score,frustration_score,satisfaction_score,learning_value,engagement_score,replayability_score,avg_attempts_before_success
P0001,4,same_category,1,very_rare,10,3.48,"vehicles, fruits, body_parts",2025-04-07 21:47:37.780046,21,0,47,34,72.5,82.86,52.96,135.47,81.53,16.92,71.45,90.55,hard,2,5.48,5,0.0,2.01,9.87,1.75,3.16,3.21,3.17,1.36
P0002,4,begins_with,2,very_rare,10,5.37,"animals, foods, weather",2025-03-17 04:08:37.792247,4,3,47,32,70.0,88.03,41.83,116.84,86.79,16.73,78.37,101.21,hard,1,8.98,10,0.0,4.87,8.16,2.18,1.76,3.87,5.64,1.0
P0003,8,begins_with,2,extremely_rare,12,9.57,"vehicles, furniture, sports",2025-04-03 06:09:37.793334,6,0,98,63,65.0,166.81,105.01,267.75,168.38,33.24,139.95,186.1,hard,1,8.67,23,0.0,4.42,3.68,7.5,4.86,5.85,6.12,1.0
P0004,3,multiple_rules,10,very_rare,10,1.89,"foods, vehicles, furniture",2025-04-04 08:42:37.794764,8,0,29,14,50.0,113.59,80.07,199.51,112.32,25.51,96.28,122.44,hard,3,8.6,7,0.0,5.36,6.67,4.93,7.39,5.56,3.82,1.06
P0005,9,begins_with,2,common,2,9.93,"elements, animals, instruments",2025-03-11 03:41:37.795623,3,1,85,76,90.0,127.85,44.44,205.17,124.75,28.27,110.6,144.22,hard,2,18.99,18,0.0,7.44,4.81,7.03,1.46,6.43,3.59,1.94
P0006,7,antonym_groups,6,very_common,1,6.2,"vehicles, fruits, furniture",2025-03-26 07:54:37.796898,7,0,34,28,82.5,115.83,77.52,160.58,115.31,18.74,104.49,125.81,hard,3,17.68,12,0.0,4.93,4.92,5.88,1.71,5.23,8.83,1.21
P0007,8,syllable_count,4,somewhat_common,4,8.01,"animals, weather, furniture",2025-04-07 16:32:37.797679,16,1,50,40,80.0,116.03,70.64,172.64,113.12,22.14,101.86,127.5,hard,2,10.27,12,0.0,3.59,1.43,9.41,8.15,7.13,5.34,1.3
P0008,10,multiple_rules,10,rare,8,1.15,"weather, emotions, vehicles",2025-03-19 04:18:37.798738,4,3,93,51,55.0,110.81,55.66,191.78,110.01,26.47,92.92,127.3,hard,1,14.22,17,0.0,6.92,6.25,3.93,5.59,5.47,8.28,1.0
P0009,10,ends_with,3,rare,8,4.74,"emotions, colors, weather",2025-03-27 21:51:37.800160,21,2,47,34,72.5,97.78,64.77,132.88,96.29,18.43,82.51,113.55,hard,1,10.94,10,0.0,3.7,1.73,10.26,6.85,7.01,2.1,1.0
P0010,9,conceptual_relation,8,uncommon,6,1.51,"colors, body_parts, fruits",2025-04-08 15:54:37.801052,15,3,32,20,65.0,80.65,38.46,116.84,79.66,15.36,70.94,87.03,hard,6,16.77,27,0.0,7.1,5.9,4.62,5.6,5.94,5.67,5.83
P0011,6,rhyming_words,7,somewhat_common,4,4.52,"foods, furniture, emotions",2025-03-19 16:09:37.801768,16,2,73,52,72.5,89.73,45.11,133.15,90.26,18.89,78.22,101.89,hard,1,12.24,10,0.0,3.09,5.66,5.99,5.08,5.19,7.75,1.0
P0012,7,anagrams,9,very_common,1,7.94,"colors, countries, foods",2025-03-28 08:33:37.802858,8,0,100,75,75.0,129.31,60.18,197.9,129.32,27.31,111.6,149.01,hard,3,15.68,16,0.0,10.07,3.86,7.75,8.78,8.6,2.93,1.36
P0013,8,anagrams,9,very_common,1,3.14,"countries, fruits, furniture",2025-03-13 02:52:37.804165,2,2,51,38,75.0,102.01,58.59,163.36,103.78,21.58,84.49,115.23,hard,4,5.17,14,0.0,12.18,5.77,6.01,4.99,7.95,7.89,3.58
P0014,3,homophones,6,extremely_rare,12,8.22,"emotions, professions, furniture",2025-03-31 21:08:37.805075,21,2,53,29,55.0,112.32,72.28,162.06,108.14,21.45,97.94,126.5,hard,1,14.83,5,0.0,4.46,6.03,5.95,1.49,4.52,6.79,1.0
P0015,5,conceptual_relation,8,extremely_rare,12,5.22,"instruments, clothing, fruits",2025-04-08 15:20:37.805944,15,1,84,42,50.0,124.4,78.43,181.94,121.94,22.43,108.02,137.39,hard,3,19.55,5,0.0,1.77,7.67,3.78,2.91,3.24,9.15,1.42
P0016,5,ends_with,3,common,2,2.99,"clothing, sports, vehicles",2025-04-07 05:42:37.807398,5,0,57,49,87.5,86.94,43.75,141.65,89.1,19.54,74.48,98.07,hard,2,14.67,6,0.0,4.34,5.61,6.17,2.32,5.37,2.5,1.13
P0017,5,conceptual_relation,8,uncommon,6,6.39,"emotions, furniture, colors",2025-03-13 23:46:37.808457,23,2,80,52,65.0,119.4,68.07,177.32,117.73,22.85,104.73,133.39,hard,1,8.25,14,0.0,3.58,3.93,7.03,11.86,6.85,4.34,1.0
P0018,5,multiple_rules,10,rare,8,5.11,"body_parts, furniture, emotions",2025-03-28 16:40:37.809832,16,2,31,17,55.0,103.85,46.98,152.82,101.43,21.88,95.97,116.11,hard,6,12.22,8,0.0,7.68,7.64,3.37,7.6,5.94,10.19,3.71
P0019,8,homophones,6,rare,8,3.15,"body_parts, animals, furniture",2025-03-11 17:52:37.810685,17,3,90,58,65.0,90.71,38.21,149.04,92.26,21.07,78.08,102.98,hard,2,12.86,23,0.0,9.22,3.34,7.81,6.61,7.73,9.34,1.85
P0020,10,conceptual_relation,8,very_rare,10,6.69,"instruments, foods, fruits",2025-03-13 19:14:37.812287,19,2,79,43,55.0,133.85,78.8,224.73,129.62,29.16,112.36,148.84,hard,2,5.02,10,0.0,12.48,4.96,6.31,5.37,7.81,4.11,1.24
